iter	Passed	Remaining
695	1880	821
696	1886	819
697	1890	817
698	1895	816
699	1901	814
700	1905	812
701	1910	810
702	1915	809
703	1920	807
704	1925	805
705	1931	804
706	1935	802
707	1940	800
708	1945	798
709	1950	796
710	1954	794
711	1961	793
712	1965	791
713	1970	789
714	1975	787
715	1980	785
716	1984	783
717	1990	781
718	1994	779
719	1999	777
720	2003	775
721	2008	773
722	2013	771
723	2018	769
724	2024	768
725	2029	765
726	2034	763
727	2039	762
728	2044	759
729	2050	758
730	2054	756
731	2059	754
732	2065	752
733	2070	750
734	2074	747
735	2079	745
736	2084	743
737	2088	741
738	2093	739
739	2098	737
740	2103	735
741	2107	732
742	2112	730
743	2117	728
744	2121	726
745	2127	724
746	2131	721
747	2137	720
748	2143	718
749	2147	715
750	2152	713
751	2157	711
752	2161	709
753	2166	706
754	2171	704
755	2175	702
756	2180	700
757	2187	698
758	2192	696
759	2197	693
760	2202	691
761	2207	689
762	2211	687
763	2217	684
764	2221	682
765	2226	680
766	2231	677
767	2235	675
768	2240	673
769	2244	670
770	2249	668
771	2254	665
772	2258	663
773	2264	661
774	2269	658
775	2273	656
776	2279	654
777	2283	651
778	2288	649
779	2293	647
780	2298	644
781	2304	642
782	2309	640
783	2314	637
784	2318	635
785	2324	632
786	2328	630
787	2333	627
788	2338	625
789	2343	622
790	2347	620
791	2354	618
792	2359	615
793	2364	613
794	2369	611
795	2374	608
796	2379	605
797	2383	603
798	2388	600
799	2393	598
800	2397	595
801	2402	593
802	2406	590
803	2411	587
804	2416	585
805	2420	582
806	2425	580
807	2430	577
808	2435	574
809	2439	572
810	2445	569
811	2449	567
812	2454	564
813	2459	562
814	2464	559
815	2468	556
816	2473	554
817	2479	551
818	2484	548
819	2489	546
820	2493	543
821	2498	541
822	2502	538
823	2507	535
824	2512	532
825	2516	530
826	2523	527
827	2528	525
828	2534	522
829	2538	520
830	2543	517
831	2547	514
832	2552	511
833	2556	508
834	2561	506
835	2566	503
836	2570	500
837	2575	497
838	2581	495
839	2585	492
840	2590	489
841	2595	487
842	2600	484
843	2605	481
844	2610	478
845	2614	476
846	2619	473
847	2624	470
848	2629	467
849	2633	464
850	2638	462
851	2643	459
852	2648	456
853	2652	453
854	2659	451
855	2664	448
856	2668	445
857	2673	442
858	2678	439
859	2683	436
860	2688	433
861	2693	431
862	2698	428
863	2705	425
864	2709	422
865	2714	420
866	2719	417
867	2724	414
868	2728	411
869	2733	408
870	2737	405
871	2742	402
872	2748	399
873	2753	396
874	2757	393
875	2763	391
876	2767	388
877	2772	385
878	2778	382
879	2782	379
880	2787	376
881	2792	373
882	2797	370
883	2801	367
884	2807	364
885	2811	361
886	2816	358
887	2821	355
888	2828	353
889	2832	350
890	2838	347
891	2843	344
892	2848	341
893	2853	338
894	2858	335
895	2864	332
896	2870	329
897	2874	326
898	2878	323
899	2885	320
900	2890	317
901	2894	314
902	2901	311
903	2905	308
904	2910	305
905	2915	302
906	2920	299
907	2924	296
908	2930	293
909	2934	290
910	2939	287
911	2944	284
912	2950	281
913	2955	278
914	2960	275
915	2965	271
916	2970	268
917	2975	265
918	2980	262
919	2985	259
920	2990	256
921	2994	253
922	2999	250
923	3004	247
924	3008	243
925	3013	240
926	3018	237
927	3023	234
928	3027	231
929	3035	228
930	3041	225
931	3047	222
932	3051	219
933	3056	215
934	3063	212
935	3068	209
936	3072	206
937	3078	203
938	3082	200
939	3086	197
940	3092	193
941	3097	190
942	3102	187
943	3107	184
944	3112	181
945	3116	177
946	3122	174
947	3127	171
948	3131	168
949	3137	165
950	3141	161
951	3146	158
952	3150	155
953	3155	152
954	3160	148
955	3165	145
956	3170	142
957	3174	139
958	3179	135
959	3184	132
960	3190	129
961	3195	126
962	3201	123
963	3208	119
964	3215	116
965	3221	113
966	3226	110
967	3231	106
968	3236	103
969	3241	100
970	3247	96
971	3251	93
972	3257	90
973	3262	87
974	3266	83
975	3271	80
976	3276	77
977	3281	73
978	3290	70
979	3296	67
980	3302	63
981	3307	60
982	3312	57
983	3318	53
984	3323	50
985	3329	47
986	3334	43
987	3340	40
988	3344	37
989	3351	33
990	3357	30
991	3362	27
992	3367	23
993	3377	20
994	3384	17
995	3389	13
996	3394	10
997	3400	6
998	3405	3
999	3410	0
